Warning: Ignoring XDG_SESSION_TYPE=wayland on Gnome. Use QT_QPA_PLATFORM=wayland to run on Wayland anyway.
[00080] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00081] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00082] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00083] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00084] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00085] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00086] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00087] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00088] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00089] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00090] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00091] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00092] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00093] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00094] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00095] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00096] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00097] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00098] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00099] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00100] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00101] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00102] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00103] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00104] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00105] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00106] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00107] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00108] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00109] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00110] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00111] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00112] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00113] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00114] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00115] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
[00116] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00117] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00118] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00119] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00120] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00121] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00122] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00123] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00124] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00125] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00126] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00127] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00128] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00129] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00130] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00131] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
