[00056] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=57 r=nanpx]
[00057] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=58 r=nanpx]
[00058] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=59 r=nanpx]
[00059] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=60 r=nanpx]
[00060] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=61 r=nanpx]
[00061] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=62 r=nanpx]
[00062] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=63 r=nanpx]
[00063] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=64 r=nanpx]
[00064] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=65 r=nanpx]
[00065] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=66 r=nanpx]
[00066] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=67 r=nanpx]
[00067] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=68 r=nanpx]
[00068] DAY      meanV=173.1 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=69 r=nanpx]
[00069] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=70 r=nanpx]
[00070] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=71 r=nanpx]
[00071] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=72 r=nanpx]
[00072] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=73 r=nanpx]
[00073] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=74 r=nanpx]
[00074] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=75 r=nanpx]
[00075] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=76 r=nanpx]
