[00043] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.65] | tracks[#1@(130,793)] reg[LOCKED n=4 r=nanpx]
[00044] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.66] | tracks[#1@(131,793)] reg[LOCKED n=5 r=nanpx]
[00045] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.66] | tracks[#1@(131,793)] reg[LOCKED n=6 r=nanpx]
[00046] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.66] | tracks[#1@(135,793)] reg[LOCKED n=7 r=nanpx]
[00047] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(131,793)] reg[LOCKED n=8 r=nanpx]
[00048] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.66] | tracks[#1@(135,793)] reg[LOCKED n=9 r=nanpx]
[00049] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.66] | tracks[#1@(133,792)] reg[LOCKED n=10 r=nanpx]
[00050] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.67] | tracks[#1@(134,792)] reg[LOCKED n=11 r=nanpx]
[00051] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(136,791)] reg[LOCKED n=12 r=nanpx]
[00052] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(135,792)] reg[LOCKED n=13 r=nanpx]
[00053] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.68] | tracks[#1@(138,791)] reg[LOCKED n=13 r=nanpx]
[00054] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.67] | tracks[#1@(139,791)] reg[LOCKED n=14 r=nanpx]
[00055] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.68] | tracks[#1@(139,791)] reg[LOCKED n=14 r=nanpx]
[00056] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(140,791)] reg[LOCKED n=15 r=nanpx]
[00057] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(139,790)] reg[LOCKED n=16 r=nanpx]
[00058] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(140,790)] reg[LOCKED n=17 r=nanpx]
[00059] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.67] | tracks[#1@(140,790)] reg[LOCKED n=18 r=nanpx]
[00060] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.67] | tracks[#1@(142,789)] reg[LOCKED n=18 r=nanpx]
[00061] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.67] | tracks[#1@(140,789)] reg[LOCKED n=19 r=nanpx]
[00062] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(140,788)] reg[LOCKED n=20 r=nanpx]
[00063] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.68] | tracks[#1@(140,788)] reg[LOCKED n=21 r=nanpx]
[00064] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.67] | tracks[#1@(141,788)] reg[LOCKED n=22 r=nanpx]
[00065] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.66] | tracks[#1@(141,787)] reg[LOCKED n=23 r=nanpx]
[00066] DAY      meanV=173.1 EO=3 IR=1 | fused[EO+IR:0.67] | tracks[#1@(140,787)] reg[LOCKED n=23 r=nanpx]
[00067] DAY      meanV=173.1 EO=1 IR=1 | fused[EO+IR:0.67] | tracks[#1@(142,787)] reg[LOCKED n=24 r=nanpx]
[00068] DAY      meanV=173.1 EO=2 IR=1 | fused[EO+IR:0.66] | tracks[#1@(142,787)] reg[LOCKED n=24 r=nanpx]
[00069] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.68] | tracks[#1@(140,787)] reg[LOCKED n=24 r=nanpx]
[00070] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.66] | tracks[#1@(142,786)] reg[LOCKED n=24 r=nanpx]
[00071] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.66] | tracks[#1@(141,786)] reg[LOCKED n=25 r=nanpx]
[00072] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.67] | tracks[#1@(140,786)] reg[LOCKED n=26 r=nanpx]
[00073] DAY      meanV=173.0 EO=2 IR=1 | fused[EO+IR:0.66] | tracks[#1@(141,786)] reg[LOCKED n=26 r=nanpx]
[00074] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.65] | tracks[#1@(140,786)] reg[LOCKED n=27 r=nanpx]
[00075] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.65] | tracks[#1@(141,785)] reg[LOCKED n=28 r=nanpx]
[00076] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(142,786)] reg[LOCKED n=29 r=nanpx]
[00077] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(141,786)] reg[LOCKED n=30 r=nanpx]
[00078] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(142,786)] reg[LOCKED n=31 r=nanpx]
[00079] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(142,785)] reg[LOCKED n=32 r=nanpx]
[00080] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(141,785)] reg[LOCKED n=32 r=nanpx]
[00081] DAY      meanV=173.0 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(142,785)] reg[LOCKED n=33 r=nanpx]
[00082] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.65] | tracks[#1@(139,785)] reg[LOCKED n=34 r=nanpx]
[00083] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(143,785)] reg[LOCKED n=35 r=nanpx]
[00084] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(141,785)] reg[LOCKED n=36 r=nanpx]
[00085] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(140,784)] reg[LOCKED n=37 r=nanpx]
[00086] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(141,784)] reg[LOCKED n=38 r=nanpx]
[00087] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(143,783)] reg[LOCKED n=38 r=nanpx]
[00088] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(143,783)] reg[LOCKED n=39 r=nanpx]
[00089] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(141,783)] reg[LOCKED n=39 r=nanpx]
[00090] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(141,783)] reg[LOCKED n=40 r=nanpx]
[00091] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(142,782)] reg[LOCKED n=41 r=nanpx]
[00092] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(138,782)] reg[LOCKED n=41 r=nanpx]
[00093] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(142,782)] reg[LOCKED n=41 r=nanpx]
[00094] DAY      meanV=172.9 EO=4 IR=1 | fused[EO+IR:0.63] | tracks[#1@(139,782)] reg[LOCKED n=41 r=nanpx]
[00095] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(140,782)] reg[LOCKED n=41 r=nanpx]
[00096] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.62] | tracks[#1@(142,782)] reg[LOCKED n=41 r=nanpx]
[00097] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(141,782)] reg[LOCKED n=41 r=nanpx]
